,Team,Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Season,Type
14,Philadelphia Eagles,Barry Gardner,0,0,0.00,0,0,0,24,6,30,0.0,2001,Defense
15,Philadelphia Eagles,Paul Grasmanis,0,0,0.00,0,0,0,14,5,19,2.0,2001,Defense
16,Philadelphia Eagles,Uhuru Hamiter,0,0,0.00,0,0,0,1,0,1,0.0,2001,Defense
17,Philadelphia Eagles,William Hampton,1,33,33.00,33t,33t,1,9,1,10,0.0,2001,Defense
18,Philadelphia Eagles,Al Harris,2,22,11.00,14,14,0,20,2,22,0.0,2001,Defense
19,Philadelphia Eagles,Tim Hauck,0,0,0.00,0,0,0,17,5,22,0.0,2001,Defense
20,Philadelphia Eagles,Ndukwe Kalu,0,0,0.00,0,0,0,12,1,13,3.0,2001,Defense
21,Philadelphia Eagles,Cecil Martin,0,0,0.00,0,0,0,2,0,2,0.0,2001,Defense
22,Philadelphia Eagles,Jermane Mayberry,0,0,0.00,0,0,0,1,0,1,0.0,2001,Defense
23,Philadelphia Eagles,Brian Mitchell,0,0,0.00,0,0,0,2,0,2,0.0,2001,Defense
24,Philadelphia Eagles,Freddie Mitchell,0,0,0.00,0,0,0,2,0,2,0.0,2001,Defense
25,Philadelphia Eagles,Damon Moore,2,2,1.00,2,2,0,65,22,87,1.0,2001,Defense
26,Philadelphia Eagles,Todd Pinkston,0,0,0.00,0,0,0,3,0,3,0.0,2001,Defense
27,Philadelphia Eagles,Jamie Reader,0,0,0.00,0,0,0,8,0,8,0.0,2001,Defense
28,Philadelphia Eagles,Ike Reese,0,0,0.00,0,0,0,21,7,28,0.0,2001,Defense
29,Philadelphia Eagles,Jon Runyan,0,0,0.00,0,0,0,1,0,1,0.0,2001,Defense
30,Philadelphia Eagles,Corey Simon,0,0,0.00,0,0,0,39,11,50,7.5,2001,Defense
31,Philadelphia Eagles,Rod Smart,0,0,0.00,0,0,0,1,0,1,0.0,2001,Defense
32,Philadelphia Eagles,Duce Staley,0,0,0.00,0,0,0,1,0,1,0.0,2001,Defense
33,Philadelphia Eagles,Bobby Taylor,1,5,5.00,5,5,0,36,3,39,1.0,2001,Defense
34,Philadelphia Eagles,Hollis Thomas,0,0,0.00,0,0,0,43,9,52,0.0,2001,Defense
35,Philadelphia Eagles,Jeff Thomason,0,0,0.00,0,0,0,10,0,10,0.0,2001,Defense
36,Philadelphia Eagles,James Thrash,0,0,0.00,0,0,0,2,0,2,0.0,2001,Defense
37,Philadelphia Eagles,Jeremiah Trotter,2,64,32.00,50t,50t,1,93,22,115,3.5,2001,Defense
38,Philadelphia Eagles,Troy Vincent,3,0,0.00,0,0,0,58,11,69,1.5,2001,Defense
39,Philadelphia Eagles,Darwin Walker,0,0,0.00,0,0,0,4,1,5,1.0,2001,Defense
0,Philadelphia Eagles,Keith Adams,0,0,0.00,0,0,0,7,2,9,0.0,2002,Defense
1,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,2,1,3,0.0,2002,Defense
2,Philadelphia Eagles,Shawn Barber,2,81,40.50,80t,80t,1,71,22,93,1.0,2002,Defense
3,Philadelphia Eagles,Mike Bartrum,0,0,0.00,0,0,0,4,0,4,0.0,2002,Defense
4,Philadelphia Eagles,Blaine Bishop,0,0,0.00,0,0,0,29,12,41,2.0,2002,Defense
5,Philadelphia Eagles,Sheldon Brown,2,41,20.50,29,29,0,13,4,17,1.0,2002,Defense
6,Philadelphia Eagles,Derrick Burgess,0,0,0.00,0,0,0,1,0,1,0.0,2002,Defense
7,Philadelphia Eagles,Quinton Caver,0,0,0.00,0,0,0,1,0,1,0.0,2002,Defense
8,Philadelphia Eagles,Rashard Cook,0,0,0.00,0,0,0,5,0,5,1.0,2002,Defense
