,Team,Player,Num,Yds,Avg,FC,Lg,TD,Season,Type
1,Philadelphia Eagles,Brandon Boykin,9,205,22.78,0,41,0,2013,Kickoff Returns
2,Philadelphia Eagles,Brad Smith,4,106,26.50,0,47,0,2013,Kickoff Returns
3,Philadelphia Eagles,Brandon Graham,2,14,7.00,0,14,0,2013,Kickoff Returns
4,Philadelphia Eagles,DeSean Jackson,1,10,10.00,0,10,0,2013,Kickoff Returns
5,Philadelphia Eagles,James Casey,1,10,10.00,0,10,0,2013,Kickoff Returns
6,Philadelphia Eagles,Chris Polk,1,8,8.00,0,8,0,2013,Kickoff Returns
7,Philadelphia Eagles,Zach Ertz,1,0,0.00,0,0,0,2013,Kickoff Returns
8,Philadelphia Eagles,Riley Cooper,1,-4,-4.00,0,-4,0,2013,Kickoff Returns
0,Philadelphia Eagles,Josh Huff,14,415,29.64,0,107t,1,2014,Kickoff Returns
1,Philadelphia Eagles,Chris Polk,11,340,30.91,0,102t,1,2014,Kickoff Returns
2,Philadelphia Eagles,Nolan Carroll,2,45,22.50,0,24,0,2014,Kickoff Returns
3,Philadelphia Eagles,James Casey,3,38,12.67,0,16,0,2014,Kickoff Returns
4,Philadelphia Eagles,Brad Smith,1,21,21.00,0,21,0,2014,Kickoff Returns
5,Philadelphia Eagles,Darren Sproles,1,15,15.00,0,15,0,2014,Kickoff Returns
0,Philadelphia Eagles,Josh Huff,21,498,23.71,0,49,0,2015,Kickoff Returns
1,Philadelphia Eagles,Riley Cooper,2,28,14.00,0,16,0,2015,Kickoff Returns
2,Philadelphia Eagles,Darren Sproles,1,20,20.00,0,20,0,2015,Kickoff Returns
3,Philadelphia Eagles,Kenjon Barner,1,10,10.00,0,10,0,2015,Kickoff Returns
4,Philadelphia Eagles,Zach Ertz,1,9,9.00,0,9,0,2015,Kickoff Returns
5,Philadelphia Eagles,Seyi Ajirotutu,1,0,0.00,0,0,0,2015,Kickoff Returns
0,New England Patriots,Kevin Faulk,38,816,21.47,0,40,0,2000,Kickoff Returns
1,New England Patriots,Curtis Jackson,13,323,24.85,0,47,0,2000,Kickoff Returns
2,New England Patriots,Tony Simmons,4,82,20.50,0,39,0,2000,Kickoff Returns
3,New England Patriots,Shockmain Davis,2,45,22.50,0,32,0,2000,Kickoff Returns
4,New England Patriots,J.R. Redmond,1,25,25.00,0,25,0,2000,Kickoff Returns
5,New England Patriots,Tony Carter,1,16,16.00,0,16,0,2000,Kickoff Returns
6,New England Patriots,Troy Brown,2,15,7.50,0,9,0,2000,Kickoff Returns
7,New England Patriots,Tedy Bruschi,2,13,6.50,0,7,0,2000,Kickoff Returns
8,New England Patriots,Bobby Hamilton,1,0,0.00,0,0,0,2000,Kickoff Returns
0,New England Patriots,Kevin Faulk,33,662,20.06,0,42,0,2001,Kickoff Returns
1,New England Patriots,Patrick Pass,10,222,22.20,0,33,0,2001,Kickoff Returns
2,New England Patriots,Ben Kelly,7,123,17.57,0,28,0,2001,Kickoff Returns
3,New England Patriots,J.R. Redmond,2,57,28.50,0,30,0,2001,Kickoff Returns
4,New England Patriots,David Patten,2,44,22.00,0,24,0,2001,Kickoff Returns
5,New England Patriots,Curtis Jackson,2,30,15.00,0,19,0,2001,Kickoff Returns
6,New England Patriots,Marc Edwards,1,23,23.00,0,23,0,2001,Kickoff Returns
7,New England Patriots,Troy Brown,1,13,13.00,0,13,0,2001,Kickoff Returns
8,New England Patriots,Tedy Bruschi,1,10,10.00,0,10,0,2001,Kickoff Returns
0,New England Patriots,Deion Branch,36,863,23.97,0,63,0,2002,Kickoff Returns
1,New England Patriots,Kevin Faulk,26,725,27.88,0,87t,2,2002,Kickoff Returns
