,Team,Player,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Season,Type
13,New England Patriots,Alfonzo Dennard,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
14,New England Patriots,Aqib Talib,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
15,New England Patriots,Devin McCourty,1,0,0,1,0,0,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
16,New England Patriots,Donte' Stallworth,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,44/44,38/41,0,0,158,2013,Scoring
1,New England Patriots,LeGarrette Blount,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2013,Scoring
2,New England Patriots,Stevan Ridley,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2013,Scoring
3,New England Patriots,Julian Edelman,6,0,6,0,0,0,0,0,0,0,0/0,0/0,2,0,40,2013,Scoring
4,New England Patriots,Aaron Dobson,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2013,Scoring
5,New England Patriots,Kenbrell Thompkins,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2013,Scoring
6,New England Patriots,Shane Vereen,4,1,3,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2013,Scoring
7,New England Patriots,Rob Gronkowski,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2013,Scoring
8,New England Patriots,Brandon Bolden,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2013,Scoring
9,New England Patriots,Danny Amendola,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2013,Scoring
10,New England Patriots,Logan Ryan,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2013,Scoring
11,New England Patriots,Matthew Mulligan,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2013,Scoring
12,New England Patriots,James Develin,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2013,Scoring
13,New England Patriots,Michael Hoomanawanui,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2013,Scoring
14,New England Patriots,Chandler Jones,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2013,Scoring
15,New England Patriots,Tavon Wilson,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2013,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,51/51,35/37,0,0,156,2014,Scoring
1,New England Patriots,Rob Gronkowski,12,0,12,0,0,0,0,0,0,0,0/0,0/0,0,0,72,2014,Scoring
2,New England Patriots,Brandon LaFell,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2014,Scoring
3,New England Patriots,Tim Wright,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2014,Scoring
4,New England Patriots,Jonas Gray,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2014,Scoring
5,New England Patriots,Shane Vereen,5,2,3,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2014,Scoring
6,New England Patriots,Julian Edelman,5,0,4,0,1,0,0,0,0,0,0/0,0/0,0,0,30,2014,Scoring
7,New England Patriots,LeGarrette Blount,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2014,Scoring
8,New England Patriots,Kyle Arrington,2,0,0,0,0,0,1,1,0,0,0/0,0/0,0,0,12,2014,Scoring
9,New England Patriots,Stevan Ridley,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2014,Scoring
10,New England Patriots,Chandler Jones,1,0,0,0,0,0,0,1,0,0,0/0,0/0,0,0,6,2014,Scoring
11,New England Patriots,Brandon Bolden,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
12,New England Patriots,Brian Tyms,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
13,New England Patriots,Danny Amendola,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
14,New England Patriots,Rob Ninkovich,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2014,Scoring
15,New England Patriots,Tom Brady,0,0,0,0,0,0,0,0,0,0,0/0,0/0,0,0,0,2014,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,52/52,33/36,0,0,151,2015,Scoring
1,New England Patriots,Rob Gronkowski,11,0,11,0,0,0,0,0,0,0,0/0,0/0,0,0,66,2015,Scoring
2,New England Patriots,Julian Edelman,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2015,Scoring
3,New England Patriots,LeGarrette Blount,7,6,1,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2015,Scoring
4,New England Patriots,James White,6,2,4,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2015,Scoring
5,New England Patriots,Scott Chandler,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2015,Scoring
6,New England Patriots,Dion Lewis,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2015,Scoring
7,New England Patriots,Tom Brady,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2015,Scoring
8,New England Patriots,Danny Amendola,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2015,Scoring
9,New England Patriots,Keshawn Martin,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2015,Scoring
10,New England Patriots,Brandon Bolden,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2015,Scoring
11,New England Patriots,Akiem Hicks,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2015,Scoring
12,New England Patriots,Jamie Collins,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2015,Scoring
13,New England Patriots,Steven Jackson,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2015,Scoring
