,Team,Player,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Season,Type
6,Philadelphia Eagles,Donovan McNabb,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2004,Scoring
7,Philadelphia Eagles,Lito Sheppard,2,0,0,0,0,2,0,0,0,0,0/0,0/0,0,0,12,2004,Scoring
8,Philadelphia Eagles,Freddie Mitchell,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2004,Scoring
9,Philadelphia Eagles,Mike Bartrum,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2004,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,23/23,16/22,0,0,71,2005,Scoring
1,Philadelphia Eagles,Brian Westbrook,7,3,4,0,0,0,0,0,0,0,0/0,0/0,1,0,44,2005,Scoring
2,Philadelphia Eagles,Terrell Owens,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2005,Scoring
3,Philadelphia Eagles,Reggie Brown,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2005,Scoring
4,Philadelphia Eagles,Todd France,0,0,0,0,0,0,0,0,0,0,5/5,6/7,0,0,23,2005,Scoring
5,Philadelphia Eagles,Ryan Moats,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2005,Scoring
6,Philadelphia Eagles,L.J. Smith,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2005,Scoring
7,Philadelphia Eagles,Mike McMahon,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2005,Scoring
8,Philadelphia Eagles,Mike Bartrum,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2005,Scoring
9,Philadelphia Eagles,Sheldon Brown,2,0,0,0,0,1,1,0,0,0,0/0,0/0,0,0,12,2005,Scoring
10,Philadelphia Eagles,Lamar Gordon,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
11,Philadelphia Eagles,Matt Ware,1,0,0,0,0,0,0,1,0,0,0/0,0/0,0,0,6,2005,Scoring
12,Philadelphia Eagles,Greg Lewis,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
13,Philadelphia Eagles,Donovan McNabb,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
14,Philadelphia Eagles,Billy McMullen,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,48/48,18/23,0,0,102,2006,Scoring
1,Philadelphia Eagles,Brian Westbrook,11,7,4,0,0,0,0,0,0,0,0/0,0/0,0,0,66,2006,Scoring
2,Philadelphia Eagles,Reggie Brown,9,1,8,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2006,Scoring
3,Philadelphia Eagles,L.J. Smith,5,0,5,0,0,0,0,0,0,0,0/0,0/0,1,0,32,2006,Scoring
4,Philadelphia Eagles,Donte' Stallworth,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2006,Scoring
5,Philadelphia Eagles,Donovan McNabb,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2006,Scoring
6,Philadelphia Eagles,Correll Buckhalter,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2006,Scoring
7,Philadelphia Eagles,Matt Schobel,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2006,Scoring
8,Philadelphia Eagles,Greg Lewis,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2006,Scoring
9,Philadelphia Eagles,Hank Baskett,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2006,Scoring
10,Philadelphia Eagles,Mike Patterson,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2006,Scoring
11,Philadelphia Eagles,Lito Sheppard,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
12,Philadelphia Eagles,Thomas Tapeh,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
13,Philadelphia Eagles,Sheldon Brown,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
14,Philadelphia Eagles,Michael Lewis,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
15,Philadelphia Eagles,Trent Cole,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
16,Philadelphia Eagles,Jason Avant,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,36/36,24/32,0,0,108,2007,Scoring
1,Philadelphia Eagles,Brian Westbrook,12,7,5,0,0,0,0,0,0,0,0/0,0/0,0,0,72,2007,Scoring
2,Philadelphia Eagles,Kevin Curtis,8,0,6,0,0,0,2,0,0,0,0/0,0/0,0,0,48,2007,Scoring
3,Philadelphia Eagles,Correll Buckhalter,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2007,Scoring
4,Philadelphia Eagles,Reggie Brown,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2007,Scoring
5,Philadelphia Eagles,Greg Lewis,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2007,Scoring
6,Philadelphia Eagles,Jason Avant,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2007,Scoring
7,Philadelphia Eagles,Tony Hunt,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
8,Philadelphia Eagles,L.J. Smith,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
9,Philadelphia Eagles,Matt Schobel,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
10,Philadelphia Eagles,Hank Baskett,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
11,Philadelphia Eagles,Brent Celek,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
